mode,total_stepcount,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,38,5.4941193746227786,0.14848971282764267,5,1,133,33,2,1,6
2,39,5.494302928292884,0.1445869191656022,5,1,133,33,9,1,6
2,40,5.494394902497476,0.14088192057685836,5,1,133,33,7,1,6
2,41,5.49454174543356,0.137363543635839,5,1,133,33,7,1,6
2,42,5.494628193291094,0.13401532178758765,5,1,133,33,7,1,6
2,43,5.494717404322158,0.1308266048648133,5,1,133,33,7,1,6
2,44,5.494813720656579,0.12778636559666462,5,1,133,33,7,1,6
2,45,5.494908852773774,0.12488429210849486,5,1,133,33,7,1,6
2,46,5.49500477436912,0.12211121720820266,5,1,133,33,7,1,6
2,47,5.495095564356484,0.11945859922514096,5,1,133,33,7,1,6
2,48,5.495371092231181,0.11692278919640811,4,100,133,33,0,1,6
2,49,6.7700108040085,0.1410418917501771,4,100,435,1797,0,1,6
2,50,6.770096462387883,0.13816523392628333,4,90,435,1797,0,1,6
2,51,6.770201462981966,0.13540402925963932,4,80,435,1797,0,1,6
2,52,6.770332911094105,0.13275162570772756,4,70,435,1797,0,1,6
2,53,6.770434753775586,0.1302006683418382,4,60,435,1797,0,1,6
2,54,6.770546070194875,0.12774615226782784,4,50,435,1797,0,1,6
2,55,6.770650281310807,0.1253824126168668,4,40,435,1797,0,1,6
2,56,6.770760018773796,0.12310472761406901,4,30,435,1797,0,1,6
2,57,6.770901730101901,0.12090895946610537,4,20,435,1797,2,1,6
2,58,6.77099212535019,0.11878933553245948,4,10,435,1797,3,1,6
2,59,6.771100678595953,0.1167431151482061,4,9,435,1797,5,1,6
2,60,6.771195021234998,0.11476601730906777,4,8,435,1797,4,1,6
2,61,6.771286205961438,0.11285477009935731,4,7,435,1797,3,1,6
2,62,6.771378969644179,0.11100621261711768,4,6,435,1797,2,1,6
2,63,6.771482391281957,0.10921745792390253,4,5,435,1797,4,1,6
2,64,6.771585812919735,0.10748548909396405,4,4,435,1797,6,1,6
2,65,6.771685681905836,0.1058075887797787,4,3,435,1797,3,1,6
2,66,6.771789893021765,0.10418138296956561,4,2,435,1797,3,1,6
2,67,6.77190160418013,0.10260456976030499,4,1,435,1797,4,1,6
2,68,6.772043315508231,0.1010752733657945,4,1,435,1797,5,1,6
2,69,6.772173184664069,0.09959078212741279,4,1,435,1797,6,1,6
2,70,6.772286869517814,0.09814908506547555,4,1,435,1797,4,1,6
2,71,6.772556081567302,0.09675080116524717,5,5,435,1797,5,1,6
2,72,9.747782257189083,0.13729270784773356,5,5,1044,81,5,1,6
2,73,9.747913705301222,0.13538769035140585,5,5,1044,81,6,1,6
2,74,9.748030942806647,0.13353467044940612,5,5,1044,81,7,1,6
2,75,9.748145417138542,0.1317316948261965,5,4,1044,81,1,1,6
2,76,9.748259101992286,0.12997678802656382,5,3,1044,81,2,1,6
2,77,9.748429629272902,0.12826881091148556,5,2,1044,81,3,1,6
2,78,9.748554366820759,0.12660460216650338,5,1,1044,81,3,1,6
2,79,9.748681867542146,0.12498310086592494,5,1,1044,81,3,1,6
2,80,9.748959369112217,0.12340454897610402,7,1,1044,81,3,1,6
2,81,13.25283827263759,0.16566047840796988,7,1,1171,51,3,1,6
2,82,13.25300129987577,0.1636172999984663,7,3,1171,51,3,1,6
